 parcel_id,land_use,property_address, property_city, sale_date, sale_price, sold_as_vacant,acreage, neighborhood, land_value,building_value, total_value,finished_area,year_built, bed_rooms,full_bath,half_bath
103 03 0 126.00,SINGLE FAMILY,4902  IDAHO AVE,NASHVILLE,2013-01-09,207500,No,0.17,2526,150000,510200,660200,3650,2014,4,4,0
103 08 0 206.00,SINGLE FAMILY,4208  ABERDEEN RD,NASHVILLE,2013-01-18,295000,No,0.19,2626,160000,111400,273500,920,1950,2,1,0
103 10 0 089.00,SINGLE FAMILY,815  NEARTOP DR,NASHVILLE,2013-01-23,260000,No,0.52,3332,65000,195600,260600,1723,1953,3,2,0
104 01 0 244.00,ZERO LOT LINE,3608  NEBRASKA AVE,NASHVILLE,2013-01-11,138000,No,0.08,2526,105000,44900,149900,810,1983,2,1,0
104 01 0 444.00,ZERO LOT LINE,3606  NEBRASKA AVE,NASHVILLE,2013-01-11,138000,No,0.08,2526,105000,44900,149900,810,1983,2,1,0
104 05 0 361.00,SINGLE FAMILY,311  WEST END PL,NASHVILLE,2013-01-15,270000,No,0.22,2626,175000,485900,660900,3308.32501,1930,4,3,0
104 06 0 123.00,SINGLE FAMILY,3340  ACKLEN AVE,NASHVILLE,2013-01-18,394500,No,0.18,2426,214500,156800,371300,1840,1950,3,2,0
104 09 0 011.00,SINGLE FAMILY,3725  PRINCETON AVE,NASHVILLE,2013-01-15,899900,No,0.27,2626,175000,567400,782300,3914,1935,4,1,1
104 11 0 240.00,SINGLE FAMILY,2608  ESSEX PL,NASHVILLE,2013-01-25,860000,No,0.22,2426,214500,472700,702300,3346.25,2005,4,2,2
104 14 0 049.00,SINGLE FAMILY,2922  WESTMORELAND DR,NASHVILLE,2013-01-10,555000,No,0.17,2426,214500,365600,580100,3509.77496,2007,4,3,2
105 09 0 141.00,DUPLEX,1113  WADE AVE,NASHVILLE,2013-01-15,164000,No,0.14,1626,80000,69400,149400,1374,1967,4,2,0
105 09 0 342.00,SINGLE FAMILY,924  WEDGEWOOD AVE,NASHVILLE,2013-01-18,151000,No,0.13,1626,105000,50700,155700,897,1940,2,1,0
105 13 0 109.00,SINGLE FAMILY,1406  ELMWOOD AVE,NASHVILLE,2013-01-23,600000,No,0.21,2228,180000,414300,594300,3116,1930,4,5,0
105 13 0 349.00,SINGLE FAMILY,924  WALDKIRCH AVE,NASHVILLE,2013-01-02,225000,No,0.18,1626,140000,83400,245200,736,1940,2,1,0
105 14 0 193.00,SINGLE FAMILY,807  HILLVIEW HTS,NASHVILLE,2013-01-11,396500,No,0.19,1626,120000,259700,380200,2022,1935,3,2,0
115 08 0 089.00,SINGLE FAMILY,6030  BRESSLYN RD,NASHVILLE,2013-01-11,433500,No,1.64,4429,275000,239000,514000,2983,1968,3,2,0
115 15 0 009.00,SINGLE FAMILY,6349  BRESSLYN RD,NASHVILLE,2013-01-10,147500,No,1.12,4430,175000,184200,359200,1829,1956,3,2,0
116 09 0 072.00,SINGLE FAMILY,5937  LONG MEADOW RD,NASHVILLE,2013-01-30,428000,No,0.79,4429,190000,241000,431000,2676,1961,3,2,0
116 13 0 118.00,SINGLE FAMILY,104  LINCOLN CT,NASHVILLE,2013-01-11,100000,No,0.29,4328,225000,146700,371700,1754,1957,3,1,1
117 01 0 053.00,SINGLE FAMILY,717  CANTRELL AVE,NASHVILLE,2013-01-18,427000,No,0.4,3227,240000,492300,732300,3188,2013,4,3,0
117 04 0 166.00,SINGLE FAMILY,2701  OAKLAND AVE,NASHVILLE,2013-01-18,989000,No,0.28,2226,180000,794500,987800,4171.5,1936,4,4,0
117 10 0 015.00,SINGLE FAMILY,2205  WOODMONT BLVD,NASHVILLE,2013-01-10,1435000,No,1.58,3227,398000,971700,1402300,6753,1942,5,4,2
117 12 0 114.00,DUPLEX,1490  CLAIRMONT PL,NASHVILLE,2013-01-31,330000,No,0.23,3727,210000,493100,716900,3371,2013,4,3,1
118 01 0 116.00,SINGLE FAMILY,1105  GILMORE AVE,NASHVILLE,2013-01-18,718000,No,0.18,1626,140000,473200,636000,3477,2012,3,3,0
118 01 0 382.00,SINGLE FAMILY,2406  9TH AVE S,NASHVILLE,2013-01-14,585157,No,0.27,1626,140000,481400,621400,3036,2012,3,2,1
118 13 0 183.00,SINGLE FAMILY,3514  WILBUR PL,NASHVILLE,2013-01-28,323000,No,0.36,3726,175000,156500,331500,1768,1949,3,2,0
128 10 0 034.00,SINGLE FAMILY,620  HICKS RD,NASHVILLE,2013-01-24,150000,No,0.24,6732,36000,109400,145400,1900,1969,3,1,1
128 10 0 181.00,DUPLEX,645  HICKS RD,NASHVILLE,2013-01-18,132000,No,0.25,6732,18000,92200,110200,1889.41998,1976,4,2,0
129 11 0 026.00,SINGLE FAMILY,937  NEUHOFF LN,NASHVILLE,2013-01-25,268000,No,0.34,4326,70000,172600,242600,2610,1965,5,3,0
129 15 0 042.00,SINGLE FAMILY,912  PERCY WARNER BLVD,NASHVILLE,2013-01-07,224000,No,0.34,4326,66500,148900,215400,1625,1968,3,2,0
130 05 0 010.00,VACANT RES LAND,127  HEADY DR,NASHVILLE,2013-01-15,300000,No,0.56,4327,295000,576900,887000,4485,2016,5,5,1
130 08 0 037.00,SINGLE FAMILY,4328  ESTES RD,NASHVILLE,2013-01-18,975000,No,0.88,3229,350000,381600,731600,4060,1945,4,4,0
130 09 0 129.00,SINGLE FAMILY,1203  NICHOL LN,NASHVILLE,2013-01-22,710000,No,0.38,4327,375000,310100,685900,3497.5,1940,4,4,0
130 10 0 096.00,SINGLE FAMILY,917  WESTVIEW AVE,NASHVILLE,2013-01-15,616224,No,0.57,9026,448900,100100,549000,2065.59998,1938,3,2,0
131 04 0 123.00,SINGLE FAMILY,1122  WOODVALE DR,NASHVILLE,2013-01-18,266125,No,0.18,3727,152000,107800,260300,906,1942,2,1,0
131 06 0 044.00,SINGLE FAMILY,2013 B  CASTLEMAN DR,NASHVILLE,2013-01-25,846200,No,0.56,3727,210000,579800,819100,3732,2013,4,3,1
131 14 0 097.00,SINGLE FAMILY,4704  VILLA GREEN DR,NASHVILLE,2013-01-24,445000,No,1.14,3728,245000,150600,395600,2344,1960,3,2,0
131 16 0 039.00,SINGLE FAMILY,1007  STONEWALL DR,NASHVILLE,2013-01-23,550000,No,1.36,9529,272700,468800,741500,6395.19217,1952,5,4,1
132 05 0 102.00,SINGLE FAMILY,4302  GRAY OAKS DR,NASHVILLE,2013-01-17,345000,No,0.51,3727,200000,146200,347000,1620,1951,3,2,0
144 06 0 010.00,SINGLE FAMILY,4400  CHICKERING LN,NASHVILLE,2013-01-29,2760000,No,4.53,9026,1174500,1574300,2826100,8403.86999,1930,4,6,0
144 15 0 012.00,VACANT RES LAND,6120  HILLSBORO PIKE,NASHVILLE,2013-01-11,420000,No,2.15,9226,390000,1310500,1700500,6673,2016,4,4,1
145 09 0 049.00,SINGLE FAMILY,5848  E ASHLAND DR,NASHVILLE,2013-01-28,505000,No,1.34,9226,315000,158300,473300,3033.03998,1965,5,5,0
158 03 0 003.00,SINGLE FAMILY,2001  CROMWELL DR,NASHVILLE,2013-01-07,1525000,No,1.04,9226,315000,1164100,1503800,6844,1956,4,4,0
159 00 0 261.00,SINGLE FAMILY,5442  GRANNY WHITE PIKE,BRENTWOOD,2013-01-02,1365000,No,1.99,6528,280800,1184700,1465500,6079,2006,4,4,1
160 02 0 012.00,SINGLE FAMILY,824  REDWOOD DR,NASHVILLE,2013-01-22,1200000,No,1.08,9529,200000,1408800,1660700,6342,2007,3,3,2
160 05 0 018.00,SINGLE FAMILY,5338  GREEN VALLEY CT,NASHVILLE,2013-01-23,385500,No,1.14,9530,200000,218200,418200,2556,1980,3,3,0
081 02 0 085.00,SINGLE FAMILY,1730  KELLOW ST,NASHVILLE,2013-01-28,27000,No,0.17,3326,11000,50800,61800,1344,1940,4,2,0
081 03 0 202.00,DUPLEX,2107  12TH AVE N,NASHVILLE,2013-01-08,65900,No,0.17,226,11000,43200,54200,1544,1955,4,2,0
081 06 0 369.00,SINGLE FAMILY,2307  LACY ST,NASHVILLE,2013-01-11,54500,No,0.17,3326,11000,34200,45600,1236,1930,3,1,0
081 07 0 395.00,SINGLE FAMILY,1817  CEPHAS ST,NASHVILLE,2013-01-10,17000,No,0.13,226,11000,52500,63500,935,1930,3,1,0
081 15 0 092.00,SINGLE FAMILY,1902  HEIMAN ST,NASHVILLE,2013-01-25,25000,No,0.15,226,13000,45300,58300,790,1937,2,1,0
081 15 0 489.00,SINGLE FAMILY,1710  SCOVEL ST,NASHVILLE,2013-01-08,37500,No,0.09,226,13000,45900,64500,1057,1935,1,1,0
090 12 0 275.00,DUPLEX,6374  IVY ST,NASHVILLE,2013-01-07,78500,No,0.44,3329,24000,66700,90700,1978,1958,4,2,0
090 16 0 182.00,SINGLE FAMILY,509  ACHIEVEMENT DR,NASHVILLE,2013-01-11,102000,No,0.26,3328,31000,70900,101900,1025,1960,3,1,1
091 07 0 171.00,SINGLE FAMILY,4806  KENTUCKY AVE,NASHVILLE,2013-01-02,50000,No,0.17,1226,45000,48200,93200,856,1918,3,1,0
091 08 0 074.00,SINGLE FAMILY,1030  43RD AVE N,NASHVILLE,2013-01-16,93000,No,0.17,1127,20000,93100,113100,1316.25,1925,4,2,0
091 08 0 112.00,SINGLE FAMILY,1000  42ND AVE N,NASHVILLE,2013-01-07,59220,No,0.12,1127,20000,37800,57800,888,1950,3,1,0
091 08 0 361.00,SINGLE FAMILY,4503  MICHIGAN AVE,NASHVILLE,2013-01-04,215044,No,0.14,1226,45000,172100,217100,1615,2012,3,2,1
091 09 0 233.00,SINGLE FAMILY,6361  ALAMO PL,NASHVILLE,2013-01-18,127500,No,0.21,3329,24000,83200,107200,1088,1949,2,1,0
092 09 0 080.00,VACANT RES LAND,711  32ND AVE N,NASHVILLE,2013-01-23,15000,No,0.13,1127,13000,127100,140100,1170,2013,3,2,0
127 00 0 173.00,SINGLE FAMILY,7426  HUNTWICK TRL,NASHVILLE,2013-01-10,600000,No,9.18,6739,152400,446600,644200,5118,1978,4,6,0
050 13 0 026.00,SINGLE FAMILY,2101  W RICHMOND HILL DR,NASHVILLE,2013-01-31,31000,No,0.22,4826,14000,48500,62500,1050,1971,3,1,0
058 15 0 155.00,SINGLE FAMILY,4101  TIMOTHY DR,NASHVILLE,2013-01-18,115000,No,0.34,3532,20000,118000,138000,1908,1980,3,2,0
059 11 0 015.00,SINGLE FAMILY,3844  CRAVATH DR,NASHVILLE,2013-01-17,45000,No,0.31,3533,21000,87600,108600,1536,1967,3,1,1
059 15 0 059.00,SINGLE FAMILY,726  RINGGOLD DR,NASHVILLE,2013-01-18,120000,No,0.19,3533,21000,81400,102400,1800,1967,3,1,1
069 04 0 065.00,SINGLE FAMILY,3602  W HAMILTON RD,NASHVILLE,2013-01-22,52500,No,0.41,3532,20000,55600,75600,1508,1945,2,1,0
070 02 0 028.00,SINGLE FAMILY,2816  BUENA VISTA PIKE,NASHVILLE,2013-01-10,26000,No,1.54,3527,21300,5800,28500,1317,1940,2,1,0
071 05 0 163.00,SINGLE FAMILY,1825  MEADE AVE,NASHVILLE,2013-01-24,81000,No,0.16,3527,11000,79300,90700,1220,1997,3,2,0
080 08 0 031.00,SINGLE FAMILY,3239  CROWE DR,NASHVILLE,2013-01-17,27000,No,0.2,3536,14000,40300,54300,975,1964,2,1,0
080 08 0 260.00,SINGLE FAMILY,3234  MEXICO DR,NASHVILLE,2013-01-04,20000,No,0.15,3536,14000,45800,59800,986,1966,3,1,0
041 11 0 011.00,SINGLE FAMILY,4021  DUMBARTON DR,NASHVILLE,2013-01-04,100,No,0.78,6829,25000,94300,119300,1620,1958,2,1,0
041 15 0 043.00,SINGLE FAMILY,1313  BELLSHIRE DR,NASHVILLE,2013-01-31,136600,No,0.85,6829,25000,86800,111800,1468.75,1958,3,1,1
050 15 0 140.00,SINGLE FAMILY,3236  VAILVIEW DR,NASHVILLE,2013-01-15,109900,No,0.43,4827,20000,80000,100000,1820,1962,3,2,0
043 09 0 048.00,SINGLE FAMILY,240  WILEY ST,MADISON,2013-01-16,44000,No,0.15,6950,18000,63600,81600,1137,1948,2,1,0
043 09 0 330.00,SINGLE FAMILY,408  BIXLER AVE,MADISON,2013-01-11,102900,No,0.65,6950,23600,77200,102500,1218,1945,3,1,0
043 12 0 036.00,SINGLE FAMILY,145  EAGAN CIR,MADISON,2013-01-16,97500,No,0.34,6950,18000,74900,95100,1780,1952,3,2,0
043 15 0 249.00,SINGLE FAMILY,253  WARRIOR RD,MADISON,2013-01-08,70000,No,0.21,6927,20000,81700,101700,1500,1978,3,2,0
043 16 0 010.00,DUPLEX,120  RIO VISTA DR,MADISON,2013-01-08,74000,No,0.29,6950,18000,54800,72800,1248,1963,4,2,0
052 06 0 093.00,SINGLE FAMILY,846  FLORENCE CIR,MADISON,2013-01-11,159900,No,0.53,6926,48000,174000,222000,2495,1962,4,2,0
052 07 0 082.00,SINGLE FAMILY,1001  JASPERSON DR,MADISON,2013-01-24,66120,No,0.98,6926,27000,80900,107900,1361,1954,2,1,0
052 08 0 114.00,DUPLEX,1504  MEADOW BEND DR,MADISON,2013-01-09,85000,No,0.29,6926,21600,63800,85400,1519,1984,4,2,0
052 08 0 116.00,DUPLEX,1501  MEADOW BEND DR,MADISON,2013-01-03,89900,No,0.24,6926,21600,70600,92200,1658,1984,4,2,0
061 07 0 205.00,SINGLE FAMILY,4207  GLYNDA DR,NASHVILLE,2013-01-04,77500,No,0.38,7332,30000,120700,150700,1322,1956,3,1,0
061 11 0 235.00,SINGLE FAMILY,1105  GREENLAND AVE,NASHVILLE,2013-01-04,83000,No,0.51,7328,37000,227700,270700,2236.85999,1948,4,3,0
061 11 0 317.00,SINGLE FAMILY,1104  MCALPINE AVE,NASHVILLE,2013-01-17,154900,No,0.35,7328,37000,127000,164000,1312,1935,4,1,0
061 15 0 108.00,DUPLEX,1126  ARDEE AVE,NASHVILLE,2013-01-15,130000,No,0.19,7328,30000,219200,249200,2227.5,1940,3,2,0
063 02 0 038.00,SINGLE FAMILY,1535  MOHAWK TRL,MADISON,2013-01-16,108500,No,0.16,6926,18000,74700,92700,1143,1993,3,2,0
071 15 0 300.00,SINGLE FAMILY,1225  JOSEPH AVE,NASHVILLE,2013-01-15,57999,No,0.16,2026,27000,40400,67400,1152,1940,5,1,0
071 15 0 451.00,SINGLE FAMILY,1213  STAINBACK AVE,NASHVILLE,2013-01-24,40000,No,0.18,2026,27000,119600,146600,1160,1925,2,2,0
072 03 0 387.00,SINGLE FAMILY,1313 B  MCCHESNEY AVE,NASHVILLE,2013-01-10,334000,No,0.24,7328,37000,293600,330600,2317,2012,3,2,1
072 04 0 146.00,SINGLE FAMILY,3815  INGLEWOOD CIR S,NASHVILLE,2013-01-15,150000,No,0.26,7328,37000,108700,145700,986,1945,3,2,0
072 06 0 301.00,SINGLE FAMILY,1118  KIRKLAND AVE,NASHVILLE,2013-01-16,250000,No,0.31,7328,37000,242500,279500,2376,1930,4,2,0
072 07 0 213.00,SINGLE FAMILY,2931  GLENMEADE DR,NASHVILLE,2013-01-24,76000,No,0.17,3627,25000,160800,190700,1724.5625,1945,2,2,0
072 08 0 250.00,SINGLE FAMILY,2227  BERRYWOOD RD,NASHVILLE,2013-01-30,177750,No,0.37,7330,30000,171100,201100,1532,1950,3,1,0
072 10 0 314.00,SINGLE FAMILY,1640  CHASE ST,NASHVILLE,2013-01-07,53000,No,0.17,3627,25000,141100,166100,1584,1969,3,2,1
072 12 0 274.00,DUPLEX,1915  UPLAND DR,NASHVILLE,2013-01-17,120000,No,0.26,7331,32000,88700,120700,1594,1961,4,2,0
072 13 0 326.00,SINGLE FAMILY,926  DOUGLAS AVE,NASHVILLE,2013-01-15,30000,No,0.18,3628,16400,121900,153700,1200,1947,2,2,0
072 15 0 160.00,SINGLE FAMILY,1603  BRANCH ST,NASHVILLE,2013-01-10,132000,No,0.22,3627,25000,82000,118100,1112,1949,3,1,0
073 09 0 179.00,SINGLE FAMILY,1811  GUEST DR,NASHVILLE,2013-01-08,125000,No,0.33,7331,32000,101100,137500,1349,1960,3,1,0
082 04 0 017.00,SINGLE FAMILY,1116  N 6TH ST,NASHVILLE,2013-01-25,248840,No,0.23,2026,27000,210600,237600,2242.25,2013,3,2,1
082 04 0 110.00,SINGLE FAMILY,1010  N 6TH ST,NASHVILLE,2013-01-11,52500,No,0.18,2026,27000,99100,126100,1725,1920,4,2,0
082 04 0 305.00,SINGLE FAMILY,1000  MCFERRIN AVE,NASHVILLE,2013-01-11,75000,No,0.38,3628,43800,20500,64300,2028,1930,6,2,0
082 08 0 241.00,SINGLE FAMILY,726  HART AVE,NASHVILLE,2013-01-09,153000,No,0.21,1926,24000,135500,168700,1455.12,1942,3,1,1
082 08 0 252.00,SINGLE FAMILY,707  HART AVE,NASHVILLE,2013-01-25,210000,No,0.17,1926,24000,178600,202600,1170,2013,3,2,0
082 11 0 015.00,SINGLE FAMILY,211  TREUTLAND AVE,NASHVILLE,2013-01-18,183000,No,0.14,2026,25100,156800,181900,1620,1900,3,2,0
082 16 0 314.00,SINGLE FAMILY,625  BOSCOBEL ST,NASHVILLE,2013-01-24,281993,No,0.2,2326,125000,201000,326000,2213.60004,1920,4,3,0
083 01 0 168.00,DUPLEX,1027  GRANADA AVE,NASHVILLE,2013-01-11,70000,No,0.19,3628,26000,54900,80900,1087,1930,2,2,0
083 01 0 302.00,DUPLEX,1311  GREENWOOD AVE,NASHVILLE,2013-01-25,120000,No,0.22,2726,60300,515800,576100,4521.64995,2013,5,4,1
083 01 0 343.00,DUPLEX,1105  N 14TH ST,NASHVILLE,2013-01-24,65000,No,0.21,2726,60300,60400,120700,1650,1954,4,2,0
083 04 0 178.00,SINGLE FAMILY,2322  CARTER AVE,NASHVILLE,2013-01-22,148500,No,0.64,3626,31200,128300,159500,1462,1955,6,1,0
083 05 0 312.00,SINGLE FAMILY,1201  CALVIN AVE,NASHVILLE,2013-01-20,355000,No,0.17,2326,100000,213600,313600,2310,1930,3,2,1
083 05 0 450.00,VACANT RES LAND,800  N 14TH ST,NASHVILLE,2013-01-02,72500,No,0.15,2726,60000,368200,459800,2914,2013,5,3,1
083 07 0 130.00,SINGLE FAMILY,711  SKYVIEW DR,NASHVILLE,2013-01-24,159900,No,0.27,2726,33800,201500,247700,1593,1948,3,2,0
083 09 0 032.00,TRIPLEX,1206  ORDWAY PL,NASHVILLE,2013-01-29,225000,No,0.18,2326,100000,369200,469200,2756,1910,4,3,1
083 10 0 264.00,SINGLE FAMILY,204  N 18TH ST,NASHVILLE,2013-01-23,173000,No,0.25,2326,85000,90200,177100,1472,1955,2,2,0
083 10 0 330.00,DUPLEX,1900  OAKHILL DR,NASHVILLE,2013-01-10,235000,No,0.27,2326,93500,153000,246500,2160,1948,4,2,0
083 11 0 175.00,SINGLE FAMILY,810  RIVERSIDE DR,NASHVILLE,2013-01-28,215000,No,0.24,3629,30000,172500,202500,1194,2012,2,2,0
083 13 0 400.00,SINGLE FAMILY,1518  RUSSELL ST,NASHVILLE,2013-01-10,388565,No,0.18,2326,85000,302200,388900,2317.05005,1905,3,2,1
084 05 0 090.00,SINGLE FAMILY,843  BETH DR,NASHVILLE,2013-01-24,241000,No,0.24,3629,35000,204800,239800,1728,2007,3,2,1
094 01 0 130.00,SINGLE FAMILY,1012  DEW ST,NASHVILLE,2013-01-15,64000,No,0.17,2328,25000,128100,153100,1160,1952,3,2,0
094 05 0 099.00,SINGLE FAMILY,919  S 14TH ST,NASHVILLE,2013-01-03,98000,No,0.2,2328,25000,70600,95600,704,1959,2,1,0
094 05 0 100.00,SINGLE FAMILY,921  S 14TH ST,NASHVILLE,2013-01-30,50100,No,0.2,2328,25000,51900,76900,704,1959,2,1,0
044 14 0 108.00,SINGLE FAMILY,904  LIVINGSTON ST,OLD HICKORY,2013-01-24,65200,No,0.34,6226,17000,81000,104700,1262,1934,3,2,0
053 12 0 237.00,SINGLE FAMILY,33  LAKESHORE CT,OLD HICKORY,2013-01-18,217000,No,0.22,6231,35000,255300,290300,3152.44995,1997,3,3,0
053 15 0 032.00,SINGLE FAMILY,693  KINGS WAY DR,OLD HICKORY,2013-01-11,135000,No,0.24,6231,13000,139300,152300,1514,1996,3,2,0
054 13 0 045.00,SINGLE FAMILY,3253  LAKESHORE DR,OLD HICKORY,2013-01-09,85000,No,0.59,6231,35000,129600,174100,2340,1940,3,3,0
063 12 0 031.00,SINGLE FAMILY,4517  S TRACE BLVD,OLD HICKORY,2013-01-09,144500,No,0.23,6230,30000,111900,141900,1414,1991,3,2,0
064 01 0 055.00,SINGLE FAMILY,125  DEKEWOOD DR,OLD HICKORY,2013-01-18,375000,No,0.48,4356,90000,245500,375700,4455.10999,1987,4,5,0
064 13 0 045.00,SINGLE FAMILY,4312  WOODS ST,OLD HICKORY,2013-01-18,77000,No,0.43,6230,22500,80100,102600,1008,1940,3,1,0
065 09 0 110.00,SINGLE FAMILY,4856  SHASTA DR,OLD HICKORY,2013-01-18,115000,No,0.41,6228,25000,112800,137800,1610,1974,3,2,0
073 03 0 010.00,SINGLE FAMILY,2612  PLEASANT GREEN RD,NASHVILLE,2013-01-11,109900,No,0.82,4127,35000,108300,143300,1226,1958,3,1,1
074 12 0 024.00,SINGLE FAMILY,404  BONNAWOOD DR,HERMITAGE,2013-01-08,78600,No,0.26,6233,21000,111400,136600,1850,1962,3,1,0
074 16 0 061.00,SINGLE FAMILY,229  BONNABROOK DR,HERMITAGE,2013-01-23,140000,No,0.28,6233,21000,123100,144100,2200,1962,4,2,0
075 11 0 189.00,ZERO LOT LINE,813  BRADLEY PL,HERMITAGE,2013-01-03,47025,No,0.14,6228,12500,40500,53000,1088,1985,3,1,1
084 13 0 012.00,SINGLE FAMILY,2128  DEARBORN DR,NASHVILLE,2013-01-11,73500,No,0.81,4129,26000,176100,202100,2436,1956,3,3,0
084 15 0 099.00,SINGLE FAMILY,112  BLUE HILLS CT,NASHVILLE,2013-01-18,125000,No,0.53,4130,34000,188200,222200,3194,1960,5,3,0
084 16 0 117.00,SINGLE FAMILY,2530  PARK DR,NASHVILLE,2013-01-28,86000,No,0.23,4130,22000,79900,105000,990,1940,3,1,0
086 01 0 025.00,SINGLE FAMILY,6003  BALTIC DR,HERMITAGE,2013-01-09,83500,No,0.22,6233,20000,65900,85900,950,1963,3,1,0
086 02 0 036.00,SINGLE FAMILY,6015  CORTEZ CT,HERMITAGE,2013-01-15,110000,No,0.22,6233,20000,83500,103500,1375,1962,3,1,0
086 07 0 187.00,SINGLE FAMILY,1601  ROBARDS WAY,HERMITAGE,2013-01-25,125000,No,0.52,6229,22000,94300,116300,1205,1987,3,2,0
086 16 0 042.00,SINGLE FAMILY,4320  CENTRAL VALLEY DR,HERMITAGE,2013-01-18,104900,No,0.24,6229,22000,99100,122200,1490,1984,3,2,0
